date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
87,28-03-2021,28,3,March,1,2021,12,Sunday,TRUE
88,29-03-2021,29,3,March,1,2021,13,Monday,FALSE
89,30-03-2021,30,3,March,1,2021,13,Tuesday,FALSE
90,31-03-2021,31,3,March,1,2021,13,Wednesday,FALSE
91,01-04-2021,1,4,April,2,2021,13,Thursday,FALSE
92,02-04-2021,2,4,April,2,2021,13,Friday,FALSE
93,03-04-2021,3,4,April,2,2021,13,Saturday,TRUE
94,04-04-2021,4,4,April,2,2021,13,Sunday,TRUE
95,05-04-2021,5,4,April,2,2021,14,Monday,FALSE
96,06-04-2021,6,4,April,2,2021,14,Tuesday,FALSE
97,07-04-2021,7,4,April,2,2021,14,Wednesday,FALSE
98,08-04-2021,8,4,April,2,2021,14,Thursday,FALSE
99,09-04-2021,9,4,April,2,2021,14,Friday,FALSE
100,10-04-2021,10,4,April,2,2021,14,Saturday,TRUE
101,11-04-2021,11,4,April,2,2021,14,Sunday,TRUE
102,12-04-2021,12,4,April,2,2021,15,Monday,FALSE
103,13-04-2021,13,4,April,2,2021,15,Tuesday,FALSE
104,14-04-2021,14,4,April,2,2021,15,Wednesday,FALSE
105,15-04-2021,15,4,April,2,2021,15,Thursday,FALSE
106,16-04-2021,16,4,April,2,2021,15,Friday,FALSE
107,17-04-2021,17,4,April,2,2021,15,Saturday,TRUE
108,18-04-2021,18,4,April,2,2021,15,Sunday,TRUE
109,19-04-2021,19,4,April,2,2021,16,Monday,FALSE
110,20-04-2021,20,4,April,2,2021,16,Tuesday,FALSE
111,21-04-2021,21,4,April,2,2021,16,Wednesday,FALSE
112,22-04-2021,22,4,April,2,2021,16,Thursday,FALSE
113,23-04-2021,23,4,April,2,2021,16,Friday,FALSE
114,24-04-2021,24,4,April,2,2021,16,Saturday,TRUE
115,25-04-2021,25,4,April,2,2021,16,Sunday,TRUE
116,26-04-2021,26,4,April,2,2021,17,Monday,FALSE
117,27-04-2021,27,4,April,2,2021,17,Tuesday,FALSE
118,28-04-2021,28,4,April,2,2021,17,Wednesday,FALSE
119,29-04-2021,29,4,April,2,2021,17,Thursday,FALSE
120,30-04-2021,30,4,April,2,2021,17,Friday,FALSE
121,01-05-2021,1,5,May,2,2021,17,Saturday,TRUE
122,02-05-2021,2,5,May,2,2021,17,Sunday,TRUE
123,03-05-2021,3,5,May,2,2021,18,Monday,FALSE
124,04-05-2021,4,5,May,2,2021,18,Tuesday,FALSE
125,05-05-2021,5,5,May,2,2021,18,Wednesday,FALSE
126,06-05-2021,6,5,May,2,2021,18,Thursday,FALSE
127,07-05-2021,7,5,May,2,2021,18,Friday,FALSE
128,08-05-2021,8,5,May,2,2021,18,Saturday,TRUE
129,09-05-2021,9,5,May,2,2021,18,Sunday,TRUE
130,10-05-2021,10,5,May,2,2021,19,Monday,FALSE
131,11-05-2021,11,5,May,2,2021,19,Tuesday,FALSE
132,12-05-2021,12,5,May,2,2021,19,Wednesday,FALSE
133,13-05-2021,13,5,May,2,2021,19,Thursday,FALSE
134,14-05-2021,14,5,May,2,2021,19,Friday,FALSE
135,15-05-2021,15,5,May,2,2021,19,Saturday,TRUE
136,16-05-2021,16,5,May,2,2021,19,Sunday,TRUE
137,17-05-2021,17,5,May,2,2021,20,Monday,FALSE
138,18-05-2021,18,5,May,2,2021,20,Tuesday,FALSE
139,19-05-2021,19,5,May,2,2021,20,Wednesday,FALSE
140,20-05-2021,20,5,May,2,2021,20,Thursday,FALSE
141,21-05-2021,21,5,May,2,2021,20,Friday,FALSE
142,22-05-2021,22,5,May,2,2021,20,Saturday,TRUE
143,23-05-2021,23,5,May,2,2021,20,Sunday,TRUE
144,24-05-2021,24,5,May,2,2021,21,Monday,FALSE
145,25-05-2021,25,5,May,2,2021,21,Tuesday,FALSE
146,26-05-2021,26,5,May,2,2021,21,Wednesday,FALSE
147,27-05-2021,27,5,May,2,2021,21,Thursday,FALSE
148,28-05-2021,28,5,May,2,2021,21,Friday,FALSE
149,29-05-2021,29,5,May,2,2021,21,Saturday,TRUE
150,30-05-2021,30,5,May,2,2021,21,Sunday,TRUE
151,31-05-2021,31,5,May,2,2021,22,Monday,FALSE
152,01-06-2021,1,6,June,2,2021,22,Tuesday,FALSE
153,02-06-2021,2,6,June,2,2021,22,Wednesday,FALSE
154,03-06-2021,3,6,June,2,2021,22,Thursday,FALSE
155,04-06-2021,4,6,June,2,2021,22,Friday,FALSE
156,05-06-2021,5,6,June,2,2021,22,Saturday,TRUE
157,06-06-2021,6,6,June,2,2021,22,Sunday,TRUE
158,07-06-2021,7,6,June,2,2021,23,Monday,FALSE
159,08-06-2021,8,6,June,2,2021,23,Tuesday,FALSE
160,09-06-2021,9,6,June,2,2021,23,Wednesday,FALSE
161,10-06-2021,10,6,June,2,2021,23,Thursday,FALSE
